   86 000 слов в нормальной форме
2 800 000 словоформ

Статистика словоформ
Число 
словоформ Число таких слов
у слова

  1:   852, 
  2:    17, 
  3:    95, 
  4:     8, 
  5:    35, 
  6:  1203, 
  7:    29, 
  8:     1, 
 10:     3, 
 11:     2, 
 12: 29521, 
 13: 14265, 
 14:   145, 
 15:     9, 
 16:     6, 
 29:   342, 
 31:     1, 
 32:    51, 
 33:  3774, 
 34:   214, 
 35:    68, 
 36:  1138, 
 37: 14405, 
 38:   125, 
 39:    19, 
 40:     1, 
 41:     1, 
 42:  1021, 
 43:  5393, 
 44:    89, 
 45:   107, 
 46:     5, 
 47:    17, 
 49:     1, 
 52:     2, 
 70:    29, 
 71:    49, 
 72:  5829, 
 73:    11, 
 74:    10, 
 75:   856, 
 76:  6404, 
 77:    28, 
 78:    41, 
 79:     2, 
 83:     1, 
 85:     6, 
 86:     1, 
 90:     1, 
100:    13, 
103:     4, 
104:    14, 
108:    23, 
109:     1, 
110:    16, 
111:     5, 
118:     1,
133:     4,
142:     1, 
145:    24, 
146:    20, 
174:    27, 
177:     1, 
178:   450, 
182:     2, 
